ts,cpu,mem_percent,proc_threads,proc_handles,open_files,tcp_conns,bytes_sent_rate,bytes_recv_rate,remote_ips
1773218597.9914494,33.4,3.4405456105029257,16,820,2,18,0.0,0.0,"['185.199.111.154', '185.199.108.133', '98.66.133.185', '52.110.4.131', '172.64.150.28', '172.64.155.209', '185.199.108.153', '127.0.0.1', '185.199.111.133', '52.110.4.140']"
1773218599.4910393,80.8,3.470071090228339,17,1003,2,16,4554.578494232508,2850.779364984476,"['185.199.111.154', '185.199.108.133', '98.66.133.185', '52.110.4.131', '172.64.150.28', '172.64.155.209', '185.199.108.153', '127.0.0.1', '185.199.111.133', '52.110.4.140']"
1773218601.1170976,29.2,3.47465263018573,17,1003,2,16,52.88863128745959,425.5689866386283,"['185.199.111.154', '185.199.108.133', '98.66.133.185', '52.110.4.131', '172.64.150.28', '172.64.155.209', '185.199.108.153', '127.0.0.1', '185.199.111.133', '52.110.4.140']"
1773218602.5734262,28.6,3.4751616901809967,17,1003,2,16,0.0,0.0,"['185.199.111.154', '185.199.108.133', '98.66.133.185', '52.110.4.131', '172.64.150.28', '172.64.155.209', '185.199.108.153', '127.0.0.1', '185.199.111.133', '52.110.4.140']"
